TeamName,ABBR,HomeBase
Angels,LAA,"Los Angeles,US"
Astros,HOU,"Houston,US"
Athletics,OAK,"Oakland,US"
BlueJays,TOR,"Toronto,CA"
Braves,ATL,"Atlanta,US"
Brewers,MIL,"Milwaukee,US"
Cardinals,STL,"St. Louis,US"
Cubs,CHC,"Chicago,US"
Diamondbacks,ARI,"Arizona,US"
Dodgers,LAD,"Los Angeles,US"
Giants,SF,"San Francisco,US"
Indians,CLE,"Cleveland,US"
Mariners,SEA,"Seattle,US"
Marlins,MIA,"Florida,US"
Mets,NYM,"New York,US"
Nationals,WSN,"Washington,US"
Orioles,BAL,"Baltimore,US"
Padres,SD,"San Diego,US"
Phillies,PHI,"Philadelphia,US"
Pirates,PIT,"Pittsburgh,US"
Rangers,TEX,"Texas,US"
Rays,TB,"Tampa,US"
Reds,CIN,"Cincinnati,US"
RedSox,BOS,"Boston,US"
Rockies,COL,"Colorado,US"
Royals,KCR,"Kansas City,US"
Tigers,DET,"Detroit,US"
Twins,MIN,"Minnesota,US"
WhiteSox,CHW,"Chicago,US"
Yankees,NYY,"New York,US"